12:18:39:399 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:18:39:399 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:18:39:400 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:18:39:400 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:18:39:405 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:18:39:405 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:18:39:405 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:18:39:406 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:18:39:410 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:18:39:411 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:18:39:412 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:18:39:412 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:18:39:427 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:18:39:427 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:18:39:428 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:18:39:429 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:18:39:435 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:18:39:435 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:39:39:411 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:39:39:412 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:39:39:412 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:39:39:412 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:39:39:416 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:39:39:416 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:39:39:416 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:39:39:417 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:39:39:420 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:39:39:420 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:39:39:420 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:39:39:420 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:39:39:425 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:39:39:425 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:39:39:426 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:39:39:427 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
12:39:39:431 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
12:39:39:432 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
